,ra,dec,half_light,GMOS_N_i
3,82.99176537472331,33.14696783444074,0.25401181134237627,23.529822936168582
4,82.99229246013563,33.14688994437745,0.27745139229390037,21.584044939431585
6,82.99368705378,33.145269682621795,0.307745623685939,20.190045854624017
7,82.99349587066315,33.14734904694605,0.2296997681244269,24.180187640635868
8,82.99392830242702,33.14915907415981,0.13209806219064393,25.06259339836829
9,82.9942312091012,33.14718576280448,0.2798210639921252,21.139297535004367
10,82.9945254030569,33.147912090447065,0.28239999757696244,23.516753930078153
11,82.99484462592318,33.15027849320049,0.14782732113571764,24.954572140639566
12,82.9960210039446,33.14846040669775,0.2540412152563559,23.27866550119491
14,82.99680540519803,33.1489809226883,0.24068398367486588,22.90736129517498
